customer_id,bill_month,billed_amount,usage_units,unit_price
C001,2025-01,202.8,152,1.4
C001,2025-02,211.84,156,1.39
C001,2025-03,175.44,152,1.22
C001,2025-04,147.52,124,1.23
C001,2025-05,159.43,149,1.07
C002,2025-01,209.97,199,1.03
C002,2025-02,92.0,87,1.0
C002,2025-03,91.7,70,1.31
C002,2025-04,71.0,71,1.0
C002,2025-05,113.48,98,1.26
C003,2025-01,68.72,64,1.23
C003,2025-02,124.0,100,1.19
C003,2025-03,133.99,113,1.23
C003,2025-04,134.0,100,1.34
C003,2025-05,103.49,67,1.47
C004,2025-01,88.2,63,1.4
C004,2025-02,150.95,139,1.05
C004,2025-03,162.02,141,1.22
C004,2025-04,68.14,57,1.02
C004,2025-05,151.9,130,1.13
C005,2025-01,71.71,51,1.21
C005,2025-02,193.4,155,1.28
C005,2025-03,271.05,195,1.39
C005,2025-04,75.68,63,1.36
C005,2025-05,121.38,89,1.42
C006,2025-01,166.37,131,1.27
C006,2025-02,192.22,173,1.14
C006,2025-03,69.12,64,1.08
C006,2025-04,145.2,120,1.21
C006,2025-05,185.0,185,1.0
C007,2025-01,176.8,130,1.36
C007,2025-02,106.6,82,1.3
C007,2025-03,131.4,90,1.46
C007,2025-04,147.62,121,1.22
C007,2025-05,125.43,97,1.19
C008,2025-01,126.96,86,1.36
C008,2025-02,99.16,84,1.24
C008,2025-03,248.4,180,1.38
C008,2025-04,238.75,191,1.25
C008,2025-05,72.84,64,1.06
C009,2025-01,162.4,112,1.45
C009,2025-02,134.28,101,1.28
C009,2025-03,269.96,192,1.38
C009,2025-04,64.48,62,1.04
C009,2025-05,194.4,135,1.44
C010,2025-01,103.1,94,1.15
C010,2025-02,230.09,183,1.23
C010,2025-03,122.53,93,1.21
C010,2025-04,133.84,124,1.16
C010,2025-05,176.38,141,1.18
C011,2025-01,207.58,178,1.11
C011,2025-02,239.7,170,1.41
C011,2025-03,52.0,52,1.0
C011,2025-04,230.64,186,1.24
C011,2025-05,103.0,100,1.13
C012,2025-01,125.28,108,1.16
C012,2025-02,166.86,162,1.03
C012,2025-03,103.12,101,1.12
C012,2025-04,238.44,179,1.36
C012,2025-05,243.0,162,1.5
C013,2025-01,246.38,162,1.49
C013,2025-02,105.06,103,1.02
C013,2025-03,199.36,178,1.12
C013,2025-04,136.48,102,1.24
C013,2025-05,121.68,117,1.04
C014,2025-01,258.84,194,1.36
C014,2025-02,255.85,165,1.49
C014,2025-03,265.08,188,1.41
C014,2025-04,211.25,173,1.25
C014,2025-05,67.6,52,1.3
C015,2025-01,256.56,196,1.36
C015,2025-02,219.32,196,1.17
C015,2025-03,138.47,101,1.47
C015,2025-04,186.02,131,1.42
C015,2025-05,107.83,91,1.13
C016,2025-01,272.13,193,1.41
C016,2025-02,123.17,109,1.13
C016,2025-03,138.56,97,1.48
C016,2025-04,113.84,86,1.44
C016,2025-05,66.12,58,1.14
C017,2025-01,142.74,97,1.42
C017,2025-02,148.17,103,1.39
C017,2025-03,187.28,124,1.47
C017,2025-04,198.9,153,1.3
C017,2025-05,169.05,161,1.05
C018,2025-01,171.88,142,1.14
C018,2025-02,162.44,131,1.24
C018,2025-03,126.04,117,1.12
C018,2025-04,122.89,97,1.37
C018,2025-05,228.1,194,1.15
C019,2025-01,226.48,164,1.32
C019,2025-02,129.63,87,1.49
C019,2025-03,75.24,57,1.32
C019,2025-04,92.5,70,1.25
C019,2025-05,195.0,160,1.25
C020,2025-01,142.5,110,1.25
C020,2025-02,115.92,84,1.38
C020,2025-03,138.7,95,1.46
C020,2025-04,169.73,173,1.01
C020,2025-05,140.6,95,1.48
